clean_path,degraded_path,degradation_type,parameters_used
synthetic_pairs\clean\00001355_000.png,synthetic_pairs\degraded\00001355_000_deg_1_gaussian_blur.png,gaussian_blur,sigma=2.38
synthetic_pairs\clean\00001355_000.png,synthetic_pairs\degraded\00001355_000_deg_2_poisson_noise.png,poisson_noise,scale=37.5
synthetic_pairs\clean\00001355_000.png,synthetic_pairs\degraded\00001355_000_deg_3_gaussian_blur.png,gaussian_blur,sigma=1.46
synthetic_pairs\clean\00001355_001.png,synthetic_pairs\degraded\00001355_001_deg_1_combined.png,combined,"underexposure+gaussian_blur(factor=0.55,sigma=0.94)"
synthetic_pairs\clean\00001355_001.png,synthetic_pairs\degraded\00001355_001_deg_2_gaussian_noise.png,gaussian_noise,variance=0.0350
synthetic_pairs\clean\00001355_001.png,synthetic_pairs\degraded\00001355_001_deg_3_combined.png,combined,"contrast_compression+poisson_noise(pct=0.44,scale=39.9)"
synthetic_pairs\clean\00001355_002.png,synthetic_pairs\degraded\00001355_002_deg_1_poisson_noise.png,poisson_noise,scale=38.7
synthetic_pairs\clean\00001355_002.png,synthetic_pairs\degraded\00001355_002_deg_2_underexposure.png,underexposure,factor=0.54
synthetic_pairs\clean\00001355_002.png,synthetic_pairs\degraded\00001355_002_deg_3_gaussian_blur.png,gaussian_blur,sigma=3.35
synthetic_pairs\clean\00001355_003.png,synthetic_pairs\degraded\00001355_003_deg_1_gaussian_blur.png,gaussian_blur,sigma=1.90
synthetic_pairs\clean\00001355_003.png,synthetic_pairs\degraded\00001355_003_deg_2_combined.png,combined,"underexposure+poisson_noise(factor=0.46,scale=22.6)"
synthetic_pairs\clean\00001355_003.png,synthetic_pairs\degraded\00001355_003_deg_3_contrast_compression.png,contrast_compression,pct=0.51
synthetic_pairs\clean\00001355_004.png,synthetic_pairs\degraded\00001355_004_deg_1_combined.png,combined,"gaussian_noise+gaussian_blur(variance=0.0319,sigma=0.96)"
synthetic_pairs\clean\00001355_004.png,synthetic_pairs\degraded\00001355_004_deg_2_poisson_noise.png,poisson_noise,scale=22.1
synthetic_pairs\clean\00001355_004.png,synthetic_pairs\degraded\00001355_004_deg_3_underexposure.png,underexposure,factor=0.46
synthetic_pairs\clean\00001355_005.png,synthetic_pairs\degraded\00001355_005_deg_1_poisson_noise.png,poisson_noise,scale=45.3
synthetic_pairs\clean\00001355_005.png,synthetic_pairs\degraded\00001355_005_deg_2_contrast_compression.png,contrast_compression,pct=0.43
synthetic_pairs\clean\00001355_005.png,synthetic_pairs\degraded\00001355_005_deg_3_poisson_noise.png,poisson_noise,scale=49.9
synthetic_pairs\clean\00001355_006.png,synthetic_pairs\degraded\00001355_006_deg_1_contrast_compression.png,contrast_compression,pct=0.34
synthetic_pairs\clean\00001355_006.png,synthetic_pairs\degraded\00001355_006_deg_2_gaussian_noise.png,gaussian_noise,variance=0.0321
synthetic_pairs\clean\00001355_006.png,synthetic_pairs\degraded\00001355_006_deg_3_combined.png,combined,"gaussian_blur+gaussian_noise(sigma=2.49,variance=0.0383)"
synthetic_pairs\clean\00001355_007.png,synthetic_pairs\degraded\00001355_007_deg_1_poisson_noise.png,poisson_noise,scale=16.7
synthetic_pairs\clean\00001355_007.png,synthetic_pairs\degraded\00001355_007_deg_2_contrast_compression.png,contrast_compression,pct=0.59
synthetic_pairs\clean\00001355_007.png,synthetic_pairs\degraded\00001355_007_deg_3_underexposure.png,underexposure,factor=0.31
synthetic_pairs\clean\00001355_008.png,synthetic_pairs\degraded\00001355_008_deg_1_combined.png,combined,"underexposure+gaussian_blur(factor=0.49,sigma=2.92)"
synthetic_pairs\clean\00001355_008.png,synthetic_pairs\degraded\00001355_008_deg_2_gaussian_noise.png,gaussian_noise,variance=0.0140
synthetic_pairs\clean\00001355_008.png,synthetic_pairs\degraded\00001355_008_deg_3_gaussian_blur.png,gaussian_blur,sigma=1.66
synthetic_pairs\clean\00001355_009.png,synthetic_pairs\degraded\00001355_009_deg_1_underexposure.png,underexposure,factor=0.41
synthetic_pairs\clean\00001355_009.png,synthetic_pairs\degraded\00001355_009_deg_2_gaussian_blur.png,gaussian_blur,sigma=3.47
synthetic_pairs\clean\00001355_009.png,synthetic_pairs\degraded\00001355_009_deg_3_contrast_compression.png,contrast_compression,pct=0.47
synthetic_pairs\clean\00001355_010.png,synthetic_pairs\degraded\00001355_010_deg_1_poisson_noise.png,poisson_noise,scale=49.9
synthetic_pairs\clean\00001355_010.png,synthetic_pairs\degraded\00001355_010_deg_2_gaussian_noise.png,gaussian_noise,variance=0.0461
synthetic_pairs\clean\00001355_010.png,synthetic_pairs\degraded\00001355_010_deg_3_combined.png,combined,"contrast_compression+poisson_noise(pct=0.59,scale=23.1)"
synthetic_pairs\clean\00001355_011.png,synthetic_pairs\degraded\00001355_011_deg_1_gaussian_blur.png,gaussian_blur,sigma=2.26
synthetic_pairs\clean\00001355_011.png,synthetic_pairs\degraded\00001355_011_deg_2_poisson_noise.png,poisson_noise,scale=14.8
synthetic_pairs\clean\00001355_011.png,synthetic_pairs\degraded\00001355_011_deg_3_gaussian_noise.png,gaussian_noise,variance=0.0404
synthetic_pairs\clean\00001355_012.png,synthetic_pairs\degraded\00001355_012_deg_1_gaussian_noise.png,gaussian_noise,variance=0.0073
synthetic_pairs\clean\00001355_012.png,synthetic_pairs\degraded\00001355_012_deg_2_combined.png,combined,"contrast_compression+underexposure(pct=0.32,factor=0.33)"
synthetic_pairs\clean\00001355_012.png,synthetic_pairs\degraded\00001355_012_deg_3_gaussian_blur.png,gaussian_blur,sigma=0.81
synthetic_pairs\clean\00001356_000.png,synthetic_pairs\degraded\00001356_000_deg_1_contrast_compression.png,contrast_compression,pct=0.41
synthetic_pairs\clean\00001356_000.png,synthetic_pairs\degraded\00001356_000_deg_2_gaussian_blur.png,gaussian_blur,sigma=3.44
synthetic_pairs\clean\00001356_000.png,synthetic_pairs\degraded\00001356_000_deg_3_contrast_compression.png,contrast_compression,pct=0.53
synthetic_pairs\clean\00001357_000.png,synthetic_pairs\degraded\00001357_000_deg_1_gaussian_noise.png,gaussian_noise,variance=0.0370
synthetic_pairs\clean\00001357_000.png,synthetic_pairs\degraded\00001357_000_deg_2_contrast_compression.png,contrast_compression,pct=0.45
synthetic_pairs\clean\00001357_000.png,synthetic_pairs\degraded\00001357_000_deg_3_underexposure.png,underexposure,factor=0.38
synthetic_pairs\clean\00001358_000.png,synthetic_pairs\degraded\00001358_000_deg_1_gaussian_noise.png,gaussian_noise,variance=0.0084
synthetic_pairs\clean\00001358_000.png,synthetic_pairs\degraded\00001358_000_deg_2_combined.png,combined,"gaussian_noise+poisson_noise(variance=0.0376,scale=49.4)"
synthetic_pairs\clean\00001358_000.png,synthetic_pairs\degraded\00001358_000_deg_3_gaussian_blur.png,gaussian_blur,sigma=3.21
synthetic_pairs\clean\00001358_001.png,synthetic_pairs\degraded\00001358_001_deg_1_poisson_noise.png,poisson_noise,scale=46.5
synthetic_pairs\clean\00001358_001.png,synthetic_pairs\degraded\00001358_001_deg_2_underexposure.png,underexposure,factor=0.68
synthetic_pairs\clean\00001358_001.png,synthetic_pairs\degraded\00001358_001_deg_3_combined.png,combined,"gaussian_noise+underexposure(variance=0.0192,factor=0.52)"
synthetic_pairs\clean\00001359_000.png,synthetic_pairs\degraded\00001359_000_deg_1_underexposure.png,underexposure,factor=0.56
synthetic_pairs\clean\00001359_000.png,synthetic_pairs\degraded\00001359_000_deg_2_combined.png,combined,"underexposure+poisson_noise(factor=0.51,scale=47.4)"
synthetic_pairs\clean\00001359_000.png,synthetic_pairs\degraded\00001359_000_deg_3_poisson_noise.png,poisson_noise,scale=23.2
synthetic_pairs\clean\00001360_000.png,synthetic_pairs\degraded\00001360_000_deg_1_gaussian_noise.png,gaussian_noise,variance=0.0485
synthetic_pairs\clean\00001360_000.png,synthetic_pairs\degraded\00001360_000_deg_2_poisson_noise.png,poisson_noise,scale=33.2
synthetic_pairs\clean\00001360_000.png,synthetic_pairs\degraded\00001360_000_deg_3_gaussian_blur.png,gaussian_blur,sigma=2.06
synthetic_pairs\clean\00001361_000.png,synthetic_pairs\degraded\00001361_000_deg_1_gaussian_blur.png,gaussian_blur,sigma=2.22
synthetic_pairs\clean\00001361_000.png,synthetic_pairs\degraded\00001361_000_deg_2_gaussian_noise.png,gaussian_noise,variance=0.0337
synthetic_pairs\clean\00001361_000.png,synthetic_pairs\degraded\00001361_000_deg_3_underexposure.png,underexposure,factor=0.56
synthetic_pairs\clean\00001362_000.png,synthetic_pairs\degraded\00001362_000_deg_1_underexposure.png,underexposure,factor=0.52
synthetic_pairs\clean\00001362_000.png,synthetic_pairs\degraded\00001362_000_deg_2_poisson_noise.png,poisson_noise,scale=47.0
synthetic_pairs\clean\00001362_000.png,synthetic_pairs\degraded\00001362_000_deg_3_combined.png,combined,"gaussian_blur+gaussian_noise(sigma=1.26,variance=0.0482)"
synthetic_pairs\clean\00001362_001.png,synthetic_pairs\degraded\00001362_001_deg_1_poisson_noise.png,poisson_noise,scale=38.5
synthetic_pairs\clean\00001362_001.png,synthetic_pairs\degraded\00001362_001_deg_2_gaussian_blur.png,gaussian_blur,sigma=0.85
synthetic_pairs\clean\00001362_001.png,synthetic_pairs\degraded\00001362_001_deg_3_contrast_compression.png,contrast_compression,pct=0.31
synthetic_pairs\clean\00001362_002.png,synthetic_pairs\degraded\00001362_002_deg_1_gaussian_noise.png,gaussian_noise,variance=0.0303
synthetic_pairs\clean\00001362_002.png,synthetic_pairs\degraded\00001362_002_deg_2_poisson_noise.png,poisson_noise,scale=42.3
synthetic_pairs\clean\00001362_002.png,synthetic_pairs\degraded\00001362_002_deg_3_underexposure.png,underexposure,factor=0.33
synthetic_pairs\clean\00001362_003.png,synthetic_pairs\degraded\00001362_003_deg_1_combined.png,combined,"contrast_compression+gaussian_noise(pct=0.45,variance=0.0098)"
synthetic_pairs\clean\00001362_003.png,synthetic_pairs\degraded\00001362_003_deg_2_gaussian_noise.png,gaussian_noise,variance=0.0313
synthetic_pairs\clean\00001362_003.png,synthetic_pairs\degraded\00001362_003_deg_3_gaussian_blur.png,gaussian_blur,sigma=1.49
synthetic_pairs\clean\00001362_004.png,synthetic_pairs\degraded\00001362_004_deg_1_combined.png,combined,"contrast_compression+gaussian_noise(pct=0.33,variance=0.0133)"
synthetic_pairs\clean\00001362_004.png,synthetic_pairs\degraded\00001362_004_deg_2_gaussian_blur.png,gaussian_blur,sigma=2.02
synthetic_pairs\clean\00001362_004.png,synthetic_pairs\degraded\00001362_004_deg_3_underexposure.png,underexposure,factor=0.49
synthetic_pairs\clean\00001362_005.png,synthetic_pairs\degraded\00001362_005_deg_1_gaussian_noise.png,gaussian_noise,variance=0.0290
synthetic_pairs\clean\00001362_005.png,synthetic_pairs\degraded\00001362_005_deg_2_contrast_compression.png,contrast_compression,pct=0.33
synthetic_pairs\clean\00001362_005.png,synthetic_pairs\degraded\00001362_005_deg_3_gaussian_blur.png,gaussian_blur,sigma=2.71
synthetic_pairs\clean\00001362_006.png,synthetic_pairs\degraded\00001362_006_deg_1_poisson_noise.png,poisson_noise,scale=28.1
synthetic_pairs\clean\00001362_006.png,synthetic_pairs\degraded\00001362_006_deg_2_gaussian_noise.png,gaussian_noise,variance=0.0394
synthetic_pairs\clean\00001362_006.png,synthetic_pairs\degraded\00001362_006_deg_3_gaussian_blur.png,gaussian_blur,sigma=3.15
synthetic_pairs\clean\00001362_007.png,synthetic_pairs\degraded\00001362_007_deg_1_underexposure.png,underexposure,factor=0.58
synthetic_pairs\clean\00001362_007.png,synthetic_pairs\degraded\00001362_007_deg_2_combined.png,combined,"contrast_compression+gaussian_blur(pct=0.34,sigma=1.44)"
synthetic_pairs\clean\00001362_007.png,synthetic_pairs\degraded\00001362_007_deg_3_gaussian_noise.png,gaussian_noise,variance=0.0235
synthetic_pairs\clean\00001362_008.png,synthetic_pairs\degraded\00001362_008_deg_1_poisson_noise.png,poisson_noise,scale=32.2
synthetic_pairs\clean\00001362_008.png,synthetic_pairs\degraded\00001362_008_deg_2_gaussian_blur.png,gaussian_blur,sigma=0.81
synthetic_pairs\clean\00001362_008.png,synthetic_pairs\degraded\00001362_008_deg_3_poisson_noise.png,poisson_noise,scale=12.1
synthetic_pairs\clean\00001362_009.png,synthetic_pairs\degraded\00001362_009_deg_1_gaussian_blur.png,gaussian_blur,sigma=2.46
synthetic_pairs\clean\00001362_009.png,synthetic_pairs\degraded\00001362_009_deg_2_underexposure.png,underexposure,factor=0.41
synthetic_pairs\clean\00001362_009.png,synthetic_pairs\degraded\00001362_009_deg_3_contrast_compression.png,contrast_compression,pct=0.30
synthetic_pairs\clean\00001362_010.png,synthetic_pairs\degraded\00001362_010_deg_1_contrast_compression.png,contrast_compression,pct=0.51
synthetic_pairs\clean\00001362_010.png,synthetic_pairs\degraded\00001362_010_deg_2_underexposure.png,underexposure,factor=0.38
synthetic_pairs\clean\00001362_010.png,synthetic_pairs\degraded\00001362_010_deg_3_gaussian_noise.png,gaussian_noise,variance=0.0295
synthetic_pairs\clean\00001362_011.png,synthetic_pairs\degraded\00001362_011_deg_1_poisson_noise.png,poisson_noise,scale=21.7
synthetic_pairs\clean\00001362_011.png,synthetic_pairs\degraded\00001362_011_deg_2_gaussian_blur.png,gaussian_blur,sigma=2.08
synthetic_pairs\clean\00001362_011.png,synthetic_pairs\degraded\00001362_011_deg_3_combined.png,combined,"underexposure+contrast_compression(factor=0.60,pct=0.40)"
synthetic_pairs\clean\00001362_012.png,synthetic_pairs\degraded\00001362_012_deg_1_underexposure.png,underexposure,factor=0.32
synthetic_pairs\clean\00001362_012.png,synthetic_pairs\degraded\00001362_012_deg_2_gaussian_blur.png,gaussian_blur,sigma=1.56
synthetic_pairs\clean\00001362_012.png,synthetic_pairs\degraded\00001362_012_deg_3_poisson_noise.png,poisson_noise,scale=40.1
synthetic_pairs\clean\00001362_013.png,synthetic_pairs\degraded\00001362_013_deg_1_contrast_compression.png,contrast_compression,pct=0.31
synthetic_pairs\clean\00001362_013.png,synthetic_pairs\degraded\00001362_013_deg_2_combined.png,combined,"gaussian_noise+underexposure(variance=0.0171,factor=0.44)"
synthetic_pairs\clean\00001362_013.png,synthetic_pairs\degraded\00001362_013_deg_3_contrast_compression.png,contrast_compression,pct=0.49
synthetic_pairs\clean\00001362_014.png,synthetic_pairs\degraded\00001362_014_deg_1_gaussian_noise.png,gaussian_noise,variance=0.0227
synthetic_pairs\clean\00001362_014.png,synthetic_pairs\degraded\00001362_014_deg_2_gaussian_blur.png,gaussian_blur,sigma=2.75
synthetic_pairs\clean\00001362_014.png,synthetic_pairs\degraded\00001362_014_deg_3_combined.png,combined,"poisson_noise+underexposure(scale=49.7,factor=0.38)"
synthetic_pairs\clean\00001362_015.png,synthetic_pairs\degraded\00001362_015_deg_1_gaussian_noise.png,gaussian_noise,variance=0.0058
synthetic_pairs\clean\00001362_015.png,synthetic_pairs\degraded\00001362_015_deg_2_contrast_compression.png,contrast_compression,pct=0.37
synthetic_pairs\clean\00001362_015.png,synthetic_pairs\degraded\00001362_015_deg_3_gaussian_blur.png,gaussian_blur,sigma=2.19
synthetic_pairs\clean\00001362_016.png,synthetic_pairs\degraded\00001362_016_deg_1_underexposure.png,underexposure,factor=0.40
synthetic_pairs\clean\00001362_016.png,synthetic_pairs\degraded\00001362_016_deg_2_gaussian_blur.png,gaussian_blur,sigma=2.34
synthetic_pairs\clean\00001362_016.png,synthetic_pairs\degraded\00001362_016_deg_3_underexposure.png,underexposure,factor=0.57
synthetic_pairs\clean\00001362_017.png,synthetic_pairs\degraded\00001362_017_deg_1_contrast_compression.png,contrast_compression,pct=0.46
synthetic_pairs\clean\00001362_017.png,synthetic_pairs\degraded\00001362_017_deg_2_poisson_noise.png,poisson_noise,scale=32.9
synthetic_pairs\clean\00001362_017.png,synthetic_pairs\degraded\00001362_017_deg_3_combined.png,combined,"underexposure+gaussian_noise(factor=0.62,variance=0.0289)"
synthetic_pairs\clean\00001363_000.png,synthetic_pairs\degraded\00001363_000_deg_1_contrast_compression.png,contrast_compression,pct=0.47
synthetic_pairs\clean\00001363_000.png,synthetic_pairs\degraded\00001363_000_deg_2_poisson_noise.png,poisson_noise,scale=15.3
synthetic_pairs\clean\00001363_000.png,synthetic_pairs\degraded\00001363_000_deg_3_combined.png,combined,"poisson_noise+contrast_compression(scale=36.4,pct=0.39)"
synthetic_pairs\clean\00001364_000.png,synthetic_pairs\degraded\00001364_000_deg_1_gaussian_noise.png,gaussian_noise,variance=0.0131
synthetic_pairs\clean\00001364_000.png,synthetic_pairs\degraded\00001364_000_deg_2_gaussian_blur.png,gaussian_blur,sigma=1.45
synthetic_pairs\clean\00001364_000.png,synthetic_pairs\degraded\00001364_000_deg_3_poisson_noise.png,poisson_noise,scale=20.6
synthetic_pairs\clean\00001364_001.png,synthetic_pairs\degraded\00001364_001_deg_1_underexposure.png,underexposure,factor=0.50
synthetic_pairs\clean\00001364_001.png,synthetic_pairs\degraded\00001364_001_deg_2_contrast_compression.png,contrast_compression,pct=0.55
synthetic_pairs\clean\00001364_001.png,synthetic_pairs\degraded\00001364_001_deg_3_poisson_noise.png,poisson_noise,scale=22.8
synthetic_pairs\clean\00001364_002.png,synthetic_pairs\degraded\00001364_002_deg_1_poisson_noise.png,poisson_noise,scale=16.8
